Username,artist_name,track_name,genre,track_id,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Knapster01,Villagers,Nothing Arrived,Folk,0HQpt900IMUOTG68O64dKE,38,0.119,0.562,0.72,0.0023,0.12,-6.286,0.0323,119.969,0.302
Knapster01,Tycho,Dive,Dance,1RjP07A2H4WMmozQidd9x7,50,0.0152,0.629,0.802,0.918,0.388,-8.32,0.102,140.067,0.578
Knapster01,Tycho,Dye,Dance,7n2TOW1CPU12MKS8j8zEfi,48,0.341,0.547,0.758,0.931,0.235,-8.169,0.0308,156.035,0.308
Knapster01,Tycho,Daydream,Dance,1zTmKEtaxIqi2ByGBLmI3s,51,0.0769,0.644,0.824,0.979,0.0699,-8.109,0.0364,140.02,0.311
Knapster01,Tycho,Division,Dance,3Lr9aRWF57Dd8NsjeWTKNp,51,0.00428,0.485,0.902,0.856,0.281,-7.878,0.0317,172.572,0.426
Knapster01,Tycho,Epoch,Dance,5EeNRe6Fi29tTrssVzl4dw,59,0.0711,0.559,0.743,0.9,0.152,-9.447,0.0532,119.981,0.264
Knapster01,Tycho,A Walk,Dance,6koWevx9MqN6efQ6qreIbm,59,0.329,0.659,0.716,0.909,0.127,-7.816,0.0317,139.952,0.382
Knapster01,Tiny Moving Parts,Caution,Alternative,4fXuiFVbcZV5TDcPszBeip,43,0.0054,0.499,0.803,0.0,0.101,-4.396,0.0446,144.887,0.37
Knapster01,Vetiver,More Of This,Folk,6bn1S18L6na82NT6xL4Nae,38,0.279,0.761,0.711,0.152,0.112,-5.315,0.0299,99.951,0.961
Knapster01,Cassius,Feeling for You,Electronic,0UHhtA7tNKZaEPh7hYZVGP,50,0.000141,0.828,0.769,0.741,0.184,-10.409,0.0828,133.055,0.73
Knapster01,Sufjan Stevens,All of Me Wants All of You,Folk,4dl77NeP009biypEUuEs8u,54,0.969,0.437,0.282,0.00174,0.115,-17.455,0.0481,143.934,0.163
Knapster01,Sufjan Stevens,Holland,Folk,3pujvaVvZRu8VO5LZvxAXq,41,0.914,0.572,0.181,0.00894,0.109,-15.893,0.0312,115.446,0.207
Knapster01,Sufjan Stevens,Futile Devices,Folk,4VNWVzVj6QnNwasZBjPGdu,58,0.993,0.579,0.292,0.916,0.0895,-18.643,0.034,140.188,0.376
Knapster01,The Chemical Brothers,The Big Jump,Electronic,5MI1TpxLiwbZx6tPmlHbJC,40,0.00209,0.761,0.814,0.544,0.171,-3.616,0.0562,124.021,0.563
Knapster01,The Chemical Brothers,Hold Tight London,Electronic,42b5rRruNIvPcknHfUkkRn,42,0.194,0.705,0.761,0.845,0.15,-6.85,0.0318,132.975,0.826
Knapster01,The Chemical Brothers,Believe,Electronic,2m8UShpNDIPkNWCxBN909N,45,0.0018,0.721,0.579,0.115,0.144,-5.347,0.0498,132.105,0.583
Knapster01,Faithless,Insomnia - Monster Mix,Electronic,2FH3BLTMhJlCH1Dmkua5DW,49,0.028,0.683,0.937,0.768,0.141,-6.388,0.0335,126.872,0.305
Knapster01,Coldplay,Magic,Pop,23khhseCLQqVMCIT1WMAns,73,0.0262,0.738,0.483,0.616,0.106,-8.915,0.0403,93.458,0.355
Knapster01,The Black Keys,Walk Across The Water,Alternative,5AEyKKiz6YPTLR7EDFLqMS,68,0.329,0.418,0.583,0.769,0.238,-7.296,0.0257,79.594,0.327
Knapster01,Wild Nothing,Canyon on Fire,Indie,12KqHnvGzYp9Y66ukvpKgn,50,0.00159,0.509,0.869,0.0202,0.106,-5.193,0.0303,126.02,0.512
Knapster01,Wild Nothing,Chinatown,Alternative,0UQc1EkgxdIB3nGVTuAXKI,53,0.0244,0.528,0.678,0.000283,0.0738,-5.309,0.0279,126.03,0.16
Knapster01,Alphaville,Forever Young,Dance,4S1VYqwfkLit9mKVY3MXoo,75,0.42,0.489,0.483,0.0028,0.236,-9.466,0.0275,136.822,0.333
Knapster01,John Denver,Perhaps Love,Folk,7vRLVWAYjnrPEhZf5IeDOm,55,0.793,0.361,0.213,0.0,0.172,-12.826,0.0346,80.813,0.276
Knapster01,John Denver,We Wish You A Merry Christmas,Folk,6h3MR7BSXsxUgypreO85Mp,53,0.814,0.678,0.353,0.0,0.0904,-15.636,0.0716,84.545,0.777
Knapster01,John Denver,Thank God I'm a Country Boy,Folk,1GppOc3LMBYanYagzCQCci,61,0.859,0.756,0.521,0.00174,0.0401,-10.855,0.0448,106.893,0.964
Knapster01,John Denver,"Leaving, On a Jet Plane - ""Greatest Hits"" Version",Folk,3D8dwH690MXQRhtIZTSS9c,53,0.852,0.406,0.188,0.0,0.105,-13.039,0.0324,120.757,0.629
Knapster01,John Denver,Rocky Mountain High,Folk,5tlyFGagMcqqpbqo2jYKU5,64,0.314,0.455,0.437,0.0,0.501,-11.411,0.0278,81.396,0.724
Knapster01,Bent,Irritating Noises,Electronic,5EJqQ4qSjthWUc6g7y7NT0,35,0.0157,0.682,0.587,0.8,0.126,-10.335,0.0273,111.949,0.498
Knapster01,Cantoma,Alive (feat. Bing Ji Ling),World,6hqdBOgpC58Hsq0kzQlhju,38,0.142,0.843,0.536,0.484,0.124,-8.374,0.0352,120.035,0.907
Knapster01,Thievery Corporation,Guidance,Electronic,74tSluknUNA9rYQtGpdjGq,46,0.00515,0.669,0.497,0.942,0.186,-10.732,0.0437,107.004,0.443
Knapster01,Bent,I Love My Man,Electronic,2AjzK5A4Cce7bB9pk2ivjz,34,0.000331,0.607,0.672,0.649,0.109,-10.022,0.0283,144.049,0.407
Knapster01,Bent,British Summertime,Electronic,6AWElb3A8ZE1iZe8PjuWix,54,0.00166,0.638,0.761,0.858,0.144,-6.643,0.0277,106.008,0.587
Knapster01,Thievery Corporation,Voyage Libre (feat. LouLou Ghelichkhani),Electronic,5ZtsscGEKKh96DyJFEbfgt,44,0.00192,0.692,0.613,0.408,0.0874,-8.399,0.0509,123.985,0.944
Knapster01,Bruce Hornsby,The Valley Road,Folk,15Hgsooff9mLjxUhg2uXZz,45,0.411,0.619,0.55,0.00637,0.0835,-9.682,0.0291,126.163,0.529
